date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:07:35	25781/25781	---M-Z	200	added ('OK')	text/html	etag:%22780464eae9e7bb9838ca64af08cf3305-ssl-df%22	https://coinmint.net/	C:/MyWebsites/coinmint/coinmint.net/index.html	(from )
03:07:35	1339/1339	---MCZ	404	error ('Not%20Found')	text/html	etag:1751243932-ssl-df	https://coinmint.net/robots.txt		(from )
03:07:36	136524/136524	---MCZ	200	added ('OK')	text/css	etag:%22e217359d89ca7e11cd0d3e6467f1426c-ssl-df%22	https://coinmint.net/skin/css/bootstrap.min.css	C:/MyWebsites/coinmint/coinmint.net/skin/css/bootstrap.min.css	(from https://coinmint.net/)
03:07:36	22470/22470	---MCZ	200	added ('OK')	text/css	etag:%22784472c45993b75fae28e24bcd1be36c-ssl-df%22	https://coinmint.net/skin/css/style.css	C:/MyWebsites/coinmint/coinmint.net/skin/css/style.css	(from https://coinmint.net/)
03:07:37	84245/84245	---MCZ	200	added ('OK')	application/javascript	etag:%22dd96e5d070414fb8e69425430959e757-ssl-df%22	https://coinmint.net/skin/js/jquery.min.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/jquery.min.js	(from https://coinmint.net/)
03:07:37	36816/36816	---MCZ	200	added ('OK')	application/javascript	etag:%22b071f654230bdd96bd9fa19ecab8d688-ssl-df%22	https://coinmint.net/skin/js/bootstrap.min.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/bootstrap.min.js	(from https://coinmint.net/)
03:07:37	5804/5804	---MCZ	200	added ('OK')	application/javascript	etag:%22be09b57da5bd75c7549ca83d652f860f-ssl-df%22	https://coinmint.net/skin/js/touchslide.1.1.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/touchslide.1.1.js	(from https://coinmint.net/)
03:07:38	6954/6954	---MCZ	200	added ('OK')	application/javascript	etag:%2259a6ff743803c83d77f990065e1d87c3-ssl-df%22	https://coinmint.net/skin/js/common.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/common.js	(from https://coinmint.net/)
03:07:38	1118/1118	---M-Z	200	added ('OK')	application/javascript	etag:%22b51af21b50ab3bb9144c5d3ef1591028-ssl-df%22	https://coinmint.net/skin/js/flash.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/flash.js	(from https://coinmint.net/)
03:07:39	54780/54780	---MCZ	200	added ('OK')	application/javascript	etag:%22cbc083ce7f80610fee04212ed40c311e-ssl-df%22	https://coinmint.net/skin/js/jquery.caroufredsel.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/jquery.caroufredsel.js	(from https://coinmint.net/)
03:07:39	59142/59142	---MCZ	200	added ('OK')	text/css	etag:%22d6dbd1ae340ea375e285dfce0d9e2954-ssl-df%22	https://coinmint.net/skin/css/animate.min.css	C:/MyWebsites/coinmint/coinmint.net/skin/css/animate.min.css	(from https://coinmint.net/)
